,State,Year,Quater,Pincode,User_count
0,andaman-&-nicobar-islands,2018,1,744103,1608
1,andaman-&-nicobar-islands,2018,2,744103,2188
2,andaman-&-nicobar-islands,2018,3,744103,2741
3,andaman-&-nicobar-islands,2018,4,744103,3373
4,andaman-&-nicobar-islands,2019,1,744103,4136
5,andaman-&-nicobar-islands,2019,2,744103,4748
6,andaman-&-nicobar-islands,2019,3,744103,5218
7,andaman-&-nicobar-islands,2019,4,744103,5637
8,andaman-&-nicobar-islands,2020,1,744103,6108
9,andaman-&-nicobar-islands,2020,2,744103,6804
10,andaman-&-nicobar-islands,2020,3,744103,8318
11,andaman-&-nicobar-islands,2020,4,744103,10408
12,andaman-&-nicobar-islands,2021,1,744103,11416
13,andaman-&-nicobar-islands,2021,2,744103,12268
14,andaman-&-nicobar-islands,2021,3,744103,13198
15,andaman-&-nicobar-islands,2021,4,744103,14127
16,andaman-&-nicobar-islands,2022,1,744103,15011
17,andaman-&-nicobar-islands,2022,2,744103,15799
18,andaman-&-nicobar-islands,2022,3,744103,16666
19,andaman-&-nicobar-islands,2022,4,744103,17406
20,andhra-pradesh,2018,1,517501,39884
21,andhra-pradesh,2018,2,517501,53468
22,andhra-pradesh,2018,3,517501,65157
23,andhra-pradesh,2018,4,517501,82873
24,andhra-pradesh,2019,1,517501,100561
25,andhra-pradesh,2019,2,517501,113033
26,andhra-pradesh,2019,3,517501,124727
27,andhra-pradesh,2019,4,517501,136436
28,andhra-pradesh,2020,1,517501,146823
29,andhra-pradesh,2020,2,517501,156221
30,andhra-pradesh,2020,3,517501,166768
31,andhra-pradesh,2020,4,517501,178328
32,andhra-pradesh,2021,1,517501,190712
33,andhra-pradesh,2021,2,517501,203005
34,andhra-pradesh,2021,3,517501,216777
35,andhra-pradesh,2021,4,517501,230688
36,andhra-pradesh,2022,1,517501,243791
37,andhra-pradesh,2022,2,517501,256290
38,andhra-pradesh,2022,3,517501,269370
39,andhra-pradesh,2022,4,517501,282766
40,arunachal-pradesh,2018,1,791110,2316
41,arunachal-pradesh,2018,2,791110,3488
42,arunachal-pradesh,2018,3,791110,4872
43,arunachal-pradesh,2018,4,791110,6599
44,arunachal-pradesh,2019,1,791110,8094
45,arunachal-pradesh,2019,2,791110,10055
46,arunachal-pradesh,2019,3,791110,11834
47,arunachal-pradesh,2019,4,791110,13737
48,arunachal-pradesh,2020,1,791110,15867
49,arunachal-pradesh,2020,2,791110,18699
50,arunachal-pradesh,2020,3,791110,21772
51,arunachal-pradesh,2020,4,791110,24414
52,arunachal-pradesh,2021,1,791110,26578
53,arunachal-pradesh,2021,2,791110,28553
54,arunachal-pradesh,2021,3,791110,30734
55,arunachal-pradesh,2021,4,791110,32931
56,arunachal-pradesh,2022,1,791110,34915
57,arunachal-pradesh,2022,2,791110,36914
58,arunachal-pradesh,2022,3,791110,39026
59,arunachal-pradesh,2022,4,791110,40977
60,assam,2018,1,781032,7209
61,assam,2018,2,781032,10189
62,assam,2018,3,781032,13555
63,assam,2018,4,781032,17802
64,assam,2019,1,781032,21003
65,assam,2019,2,781032,24543
66,assam,2019,3,781032,27912
67,assam,2019,4,781032,30419
68,assam,2020,1,781032,33205
69,assam,2020,2,781032,36494
70,assam,2020,3,781032,39646
71,assam,2020,4,781032,43335
72,assam,2021,1,781032,46783
73,assam,2021,2,781032,49999
74,assam,2021,3,781032,53594
75,assam,2021,4,781032,57249
76,assam,2022,1,781032,60632
77,assam,2022,2,781032,63866
78,assam,2022,3,781032,67280
79,assam,2022,4,781032,70664
80,bihar,2018,1,800001,71092
81,bihar,2018,2,800001,94711
82,bihar,2018,3,800001,112494
83,bihar,2018,4,800001,134254
84,bihar,2019,1,800001,155763
85,bihar,2019,2,800001,176131
86,bihar,2019,3,800001,194197
87,bihar,2019,4,800001,210421
88,bihar,2020,1,800001,226061
89,bihar,2020,2,800001,239180
90,bihar,2020,3,800001,254577
91,bihar,2020,4,800001,271953
92,bihar,2021,1,800001,291064
93,bihar,2021,2,800001,310396
94,bihar,2021,3,800001,331994
95,bihar,2021,4,800001,354049
96,bihar,2022,1,800001,374585
97,bihar,2022,2,800001,394289
98,bihar,2022,3,800001,414926
99,bihar,2022,4,800001,435858
100,chandigarh,2018,1,160101,11805
101,chandigarh,2018,2,160101,15846
102,chandigarh,2018,3,160101,19810
103,chandigarh,2018,4,160101,24670
104,chandigarh,2019,1,160101,29177
105,chandigarh,2019,2,160101,33226
106,chandigarh,2019,3,160101,36777
107,chandigarh,2019,4,160101,39986
108,chandigarh,2020,1,160101,43456
109,chandigarh,2020,2,160101,47100
110,chandigarh,2020,3,160101,50901
111,chandigarh,2020,4,160101,55221
112,chandigarh,2021,1,160101,59366
113,chandigarh,2021,2,160101,63492
114,chandigarh,2021,3,160101,68033
115,chandigarh,2021,4,160101,72637
116,chandigarh,2022,1,160101,76960
117,chandigarh,2022,2,160101,81030
118,chandigarh,2022,3,160101,85368
119,chandigarh,2022,4,160101,89650
120,chhattisgarh,2018,1,492001,33697
121,chhattisgarh,2018,2,492001,46075
122,chhattisgarh,2018,3,492001,56931
123,chhattisgarh,2018,4,492001,70803
124,chhattisgarh,2019,1,492001,86083
125,chhattisgarh,2019,2,492001,101202
126,chhattisgarh,2019,3,492001,114627
127,chhattisgarh,2019,4,492001,126984
128,chhattisgarh,2020,1,492001,140048
129,chhattisgarh,2020,2,492001,151787
130,chhattisgarh,2020,3,492001,164803
131,chhattisgarh,2020,4,492001,178877
132,chhattisgarh,2021,1,492001,192280
133,chhattisgarh,2021,2,492001,205399
134,chhattisgarh,2021,3,492001,219691
135,chhattisgarh,2021,4,492001,234198
136,chhattisgarh,2022,1,492001,247599
137,chhattisgarh,2022,2,492001,260351
138,chhattisgarh,2022,3,492001,273586
139,chhattisgarh,2022,4,492001,286884
140,dadra-&-nagar-haveli-&-daman-&-diu,2018,1,396230,26888
141,dadra-&-nagar-haveli-&-daman-&-diu,2018,2,396230,36053
142,dadra-&-nagar-haveli-&-daman-&-diu,2018,3,396230,46381
143,dadra-&-nagar-haveli-&-daman-&-diu,2018,4,396230,58055
144,dadra-&-nagar-haveli-&-daman-&-diu,2019,1,396230,69568
145,dadra-&-nagar-haveli-&-daman-&-diu,2019,2,396230,78132
146,dadra-&-nagar-haveli-&-daman-&-diu,2019,3,396230,87039
147,dadra-&-nagar-haveli-&-daman-&-diu,2019,4,396230,97116
148,dadra-&-nagar-haveli-&-daman-&-diu,2020,1,396230,107112
149,dadra-&-nagar-haveli-&-daman-&-diu,2020,2,396230,119858
150,dadra-&-nagar-haveli-&-daman-&-diu,2020,3,396230,131460
151,dadra-&-nagar-haveli-&-daman-&-diu,2020,4,396230,145541
152,dadra-&-nagar-haveli-&-daman-&-diu,2021,1,396230,157679
153,dadra-&-nagar-haveli-&-daman-&-diu,2021,2,396230,169433
154,dadra-&-nagar-haveli-&-daman-&-diu,2021,3,396230,182708
155,dadra-&-nagar-haveli-&-daman-&-diu,2021,4,396230,196135
156,dadra-&-nagar-haveli-&-daman-&-diu,2022,1,396230,208830
157,dadra-&-nagar-haveli-&-daman-&-diu,2022,2,396230,220980
158,dadra-&-nagar-haveli-&-daman-&-diu,2022,3,396230,233674
159,dadra-&-nagar-haveli-&-daman-&-diu,2022,4,396230,246264
160,delhi,2018,1,110059,95496
161,delhi,2018,2,110059,124901
162,delhi,2018,3,110059,156028
163,delhi,2018,4,110059,206537
164,delhi,2019,1,110059,246566
